Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","22u","C_0805_2012Metric",141.290000,-97.430000,180.000000,top
"C103","100n","C_0402_1005Metric",131.451348,-97.770000,0.000000,top
"C104","22u","C_0805_2012Metric",136.160000,-98.990000,90.000000,top
"C105","1u","C_0402_1005Metric",145.750000,-78.000000,-90.000000,top
"C106","1u","C_0402_1005Metric",152.330000,-88.940000,-90.000000,top
"C107","1u","C_0402_1005Metric",152.750000,-76.750000,0.000000,top
"C108","3.3u","CP_EIA-3216-18_Kemet-A",150.490000,-90.960000,0.000000,top
"C109","100p","C_0402_1005Metric",146.700000,-88.940000,-90.000000,top
"C110","100p","C_0402_1005Metric",147.680000,-88.940000,-90.000000,top
"C111","100n","C_0402_1005Metric",150.830000,-88.940000,-90.000000,top
"C112","1u","C_0402_1005Metric",141.455000,-83.250000,90.000000,top
"C113","30p","C_0402_1005Metric",143.060000,-84.620000,180.000000,top
"C114","30p","C_0402_1005Metric",143.060000,-85.600000,180.000000,top
"C201","22u","C_0805_2012Metric",148.033848,-104.900000,180.000000,top
"C203","100n","C_0402_1005Metric",134.901348,-108.380000,0.000000,top
"C204","22u","C_0805_2012Metric",139.370000,-109.630000,-90.000000,top
"C401","3.3u","CP_EIA-3216-18_Kemet-A",151.500000,-65.300000,180.000000,top
"C402","1u","C_0402_1005Metric",139.720000,-67.150000,90.000000,top
"C403","100n","C_0402_1005Metric",140.750000,-67.150000,90.000000,top
"C404","100n","C_0402_1005Metric",141.780000,-67.150000,90.000000,top
"C405","1u","C_0402_1005Metric",145.600000,-49.900000,0.000000,top
"C406","1u","C_0402_1005Metric",152.500000,-61.300000,0.000000,top
"C407","1u","C_0402_1005Metric",150.000000,-49.300000,180.000000,top
"C408","3.3u","CP_EIA-3216-18_Kemet-A",151.500000,-63.000000,0.000000,top
"C409","100p","C_0402_1005Metric",147.500000,-61.700000,-90.000000,top
"C410","100p","C_0402_1005Metric",148.600000,-61.700000,-90.000000,top
"C411","100n","C_0402_1005Metric",150.500000,-61.300000,0.000000,top
"C412","1u","C_0402_1005Metric",141.710000,-55.480000,0.000000,top
"C413","30p","C_0402_1005Metric",141.230000,-57.240000,90.000000,top
