"Reference","Value","Datasheet","Footprint","Qty","DNP","Part Number"
"C1,C8,C17,C18,L1","1u","~","-- mixed values --","5","","-- mixed values --"
"C2,C3","30p","~","Capacitor_SMD:C_0402_1005Metric","2","","0402CG300J500NT"
"C4,C5","100p","~","Capacitor_SMD:C_0402_1005Metric","2","","0402CG101J500NT"
"C6","3.3u","~","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","1","","TAJA335K016RNJ"
"C7","100n","~","Capacitor_SMD:C_0402_1005Metric","1","","CL05B104KO5NNNC"
"C9","0.22u","~","Capacitor_SMD:CP_Elec_6.3x5.4","1","","RVT1A221M0605"
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","1","","GT-USB-7010ASV"
"R1,R2","33","~","Resistor_SMD:R_0402_1005Metric","2","","0402WGF330JTCE"
"R3","1k5","~","Resistor_SMD:R_0402_1005Metric","1","","0402WGJ0152TCE"
"R4","1M","~","Resistor_SMD:R_0402_1005Metric","1","","0402WGF1004TCE"
"R101,R102","5k1","~","Resistor_SMD:R_0402_1005Metric","2","","0402WGF5101TCE"
"TP1","Microphone Input","~","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","1","",""
"U101","PCM2912APJTR","https://www.ti.com/lit/ds/symlink/pcm2912a.pdf","PCM2912A:PJT32","1","",""
"X1","6MHz","~","Crystal:Crystal_SMD_HC49-SD","1","","H6OEL89CSC-SUGYLC-6M"
